_c0,loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_group
265,564650,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,87262.0,Married,Star,Standard,,,High
280,497467,Canada,Quebec,Montreal,H4G 3T4,Female,Doctor,245427.0,Married,Star,Standard,,,High
757,372261,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,192498.0,Married,Aurora,Standard,,,High
1172,922665,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,81237.0,Married,Aurora,Standard,2016.0,,High
1328,902040,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,69765.0,Single,Aurora,Standard,,,Medium
1693,605343,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,96786.0,Married,Aurora,Standard,,,High
1808,267474,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,81975.0,Single,Aurora,Standard,,,High
1941,601027,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,79157.0,Divorced,Aurora,Standard,,,High
2007,586686,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,81505.0,Divorced,Aurora,Standard,,,High
2428,203698,Canada,Ontario,Toronto,M1R 4K3,Female,High School or Below,42090.0,Married,Aurora,Standard,,,Low
2614,425940,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,57156.0,Married,Aurora,Standard,,,Medium
2636,758210,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Master,128047.0,Married,Aurora,Standard,,,High
2860,323249,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,34210.0,Married,Nova,2018 Promotion,,,Low
2947,268293,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,65955.0,Married,Aurora,Standard,,,Medium
3150,295412,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84988.0,Married,Aurora,Standard,,,High
3233,516133,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,77959.0,Married,Aurora,Standard,,,High
3272,742281,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,187495.0,Married,Aurora,Standard,,,High
3479,315235,Canada,British Columbia,Vancouver,V6E 3Z3,Female,High School or Below,79557.0,Divorced,Aurora,Standard,,,High
4229,976834,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,61547.0,Married,Nova,Standard,,,Medium
4249,450698,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69221.0,Married,Star,2018 Promotion,,,Medium
4299,174923,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,89076.0,Married,Nova,Standard,,,High
